,,,30.09.2024-6.10.2024,07.10.2024-13.10.2024,14.10.2024-20.10.2024,21.10.2024-27.10.2024,28.10.2024-03.11.2024,04.11.2024-10.11.2024,11.11.2024-17.11.2024,18.11.2024-24.11.2024,25.11.2024-01.12.2024,02.12.2024-08.12.2024,09.12.2024-15.12.2024,16.12.2024-22.12.2024,23.12.2024-29.12.2024,30.12.2024-05.01.2025
Start Date: 30.09.2024,,,WEEK 1,WEEK 2,WEEK3,WEEK 4,WEEK 5,WEEK 6,WEEK 7,WEEK 8,WEEK 9,WEEK 10,WEEK 11,WEEK 12,WEEK 13,WEEK 14
Preparing,,week(1-3),,,,,,,,,,,,,,
Project Searching,,team,,,,,,,,,,,,,,
Project Propasal,,can mete,,,,,,,,,,,,,,
Project Selection,,can mete,,,,,,,,,,,,,,
Project plan,,week(4-6),,,,,,,,,,,,,,
Literature Review,,kıvılcım,,,,,,,,,,,,,,
Discuss with Business Expert,,team,,,,,,,,,,,,,,
Determine Context Boundries,,eray,,,,,,,,,,,,,,
Determine Events in the system,,sarper,,,,,,,,,,,,,,
Architecture  ,,week(7-10),,,,,,,,,,,,,,
Designing Software Architecture,,team,,,,,,,,,,,,,,
Designing Infrastructure,,team,,,,,,,,,,,,,,
Documentation,,week(9-14),,,,,,,,,,,,,,
Software Requirements Specification,,team,,,,,,,,,,,,,,
Web Page,,"sarper,eray",,,,,,,,,,,,,,
Software Design Description,,"kıvılcım, can mete",,,,,,,,,,,,,,
Project Report,,team,,,,,,,,,,,,,,
Presentation ,,week 14,,,,,,,,,,,,,,
Presentation ,,team,,,,,,,,,,,,,,
